Бердичев	18
Житомир	2
Польские Губернии	1
Лемберг	7
Да-с	1
Австрия	7
Богемию	5
Киевская дорога	2
Филиповною	1
Москвой-рекой	5
Гетьманщин	1
Королевец	7
Украина	168
Умань	1
Умани	1
Путивльская дорога	1
Волынь	5
Польша	424
Эсманью	3
Молдавия	31
Сочава	1
Эсмани	2
Глуховская дорога	1
Путивль	10
Клепала	1
Клевенский	1
В***	1
Клевени	2
Королевецкая дорога	1
Клевень	1
Еще	1
Бряжчали	1
Кветчинский	1
Нестеряковая	1
Золочена	1
Страсбург	1
Просечинкого	1
Звониград	2
Яцинта Порадича	1
Босния	4
Далмации	1
Кавказские воды	3
Кавказ	66
Кисловодск	9
Елисейские  поля	2
Византия	48
Черное море	24
Днепр	257
Черное  море	2
Родимая земля	1
Якутск	1
Соломонов сосуд	1
Белозерский монастырь	1
Висла	7
Тамбовская губерния	1
Тартар	2
Московская губерния	5
Тучков	1
Рига	24
Гродненская губерния	5
Вильно	35
Гершелев	1
Ост-Индию	1
Копенгаген	2
Малинов	29
Надобно	1
Стахей	1
Лиров	2
Астрахань	12
Малинова	10
Тверь	84
Килии	2
Вязьмой	1
Песчаная улица	1
Лиров берег	1
Борисковом	1
Грузино	6
Грузин	1
Евсею	1
Чудове	9
Чудово	5
Петербург  Вот	1
Чудовой	1
Красная площадь	48
Спасская Полесть	3
Вышний Волочке	1
Торжок	6
Городне	3
Жиров	1
Португалия	3
Вышний Волочка	1
Померанья	3
Москвою	27
Помераньи	3
Померанье	2
Лирова	1
Клин	13
Каменная гора	6
Малиновскому толчок	1
Макарийских	1
Любаша	1
Мелаша	2
Жемчуг	1
Невдалеке	1
Клеопатрина  жемчужина	1
Елисейские	3
Добрая Надежда	1
Отчаяние	1
Китайская стена	1
Новый  мост	1
Чукотский нос	1
Московская застава	2
Сенная площадь	1
Галерная гавань	1
Коломны	3
Прядильная улицы	1
Петрополь	2
Петергоф	5
Звездич	1
Сен-Плюше	1
Гремин	1
Аркадий	5
Алонзе	1
Гренада	1
Стрелинский	1
Невский бульвар	3
Фотрингей	1
Барабинская	1
Пальмира	3
Парголов	6
Северная Пальмира	2
Ингерманландии	2
Колокольная улица	1
Мойке	2
N. N.	1
Норд-Кап	1
Аркадиевые	1
Бородинское	2
Ватерлооское	1
Греция	43
Капитолий	5
Кранахов	1
Восток	54
Средние века	1
Зевес	1
Семеля	1
Парфенон	2
Афинах	4
Колизей	9
Понтинской	1
Ве-риньку	1
Вериньки	1
Вериньке	2
Шиллеров	1
Прометей	2
Эллада	3
Ревел	4
Нарвская дорога	1
Сицилия	2
Одесса	11
Террачинские горы	1
Триест	4
Спаситель	2
Волынский	8
Аполлон	7
Санкт-Питером	1
Яссы	16
Остермановы	1
Зимний дворец	7
Бирона	2
Голстинии	1
Англия	41
Кульковский	1
Фенелонов	1
Немиров [Польское местечко	1
Хотин	8
Волынская	15
Тверской	13
Бессарабия	19
Махиавелева	1
Пыщутся гора	1
Зуду	3
Парнасус	1
Волково поле	2
Волковое поле	3
Волковом поле	1
Луговая	4
Меркурия	1
Курляндии	4
Рыбачья слобода	5
Аничкова слобода	2
Кускове	1
Аничковская слобода	1
Французская слобода	1
Финский залив	9
Гостиный двор	19
Новый свет	1
Рыбачьей слободой	1
Рыбачью	1
Рыбачья	1
Лелемико	1
Венеция	43
Демосфены	1
Бокума	1
Керу	1
Березова	1
Сумин-Купшин	1
Щурхов	2
Курляндию	3
Волынская отворил	1
Немиров	1
Российская империя	3
Волынской	1
Парис	1
Горденко зарытый	1
Артемий Петрович	1
Яссах	9
Генвар	1
Елисейские поля	4
Невская набережная	2
Выборгская сторона	9
Туречин	1
Мариулку	1
Щурхова	3
Ныне Мариорица	1
Мемнонова	2
Юпитер	16
Апраксин	2
Петропавловская крепость	2
Итаке	1
Парнас	3
Магометов	1
Азия	29
Бирон	2
Махиавел	1
Исакий Далматского	1
Полтавою	2
Самсон-странноприимец	1
Теплое море	6
Шумящий Днепр	2
Княжеском	5
Княжеским терем	1
Днепровскими	2
Киевский Великий Князь	2
Болгарские	1
Русское море	7
Болгар	1
Белая	4
Вар-Хазаном	1
Кривичей	1
Сары-Кале	1
Тор	2
Бошнякской	1
Хазарские Жиды	1
Волга	71
Светослав	4
Азов	7
Торажское озеро	1
Дон	22
Дунай	28
Имо	1
Преслав	1
Мегалополь	1
Марцианополь	1
Тырновские	1
Киевский Князь	1
Греки	3
Спатарь	1
Царьград	19
Белое море	6
Светослава	2
Торнео	23
Белый свет	1
Атлантида	1
Халдейскую	1
Красное море	1
Днепровские	3
Мекка	9
Аравия	4
Лысая гора	10
Мразный	1
Венедицкого	1
Княжеский	9
Княжеские леса	1
Почайны	19
Глубочице	1
Черто-рыя	1
Золоча	1
Витичев холм	1
Займища	3
Дроттара-Скиольда	1
Поляны	1
Витичевой холм	1
Скиолъдовая	1
Скиольдов	1
Берестовец	1
Княжеские луга	3
Лыбедь	11
Щулявщина	1
Добрынино	1
Княжеское Перевесище	1
Лыбеди	9
Глубочицу	1
Яворовая роща	1
Олегова	3
Скифы	2
Булгария	8
Великий Княжеский город	1
Бошняки	1
Днепровская столица	1
Деревская земля	1
Танаис	2
Азахейм	1
Гардарикию	2
Фионию	1
Гильфу	1
Фионии	1
Азских	1
Бримир	1
Уральских	3
Плогс-Ландия	1
Волхов	33
Готты	1
Урманское море	1
Христианская религия	1
Финны	1
Валхов	2
Двина	6
Маозе	1
Княжеские	6
Греческие	6
Волос	2
Новгородский	6
Финнами	1
Вече	5
Новгородские	8
Вечу	2
Волосовым	1
Блотадами	1
Бог-Свет	1
Посадники	1
Тысяцкие	1
Днепровских	2
Днепровском	2
Чертовым бережищем	1
Чертова бережища	1
Киевский	20
Княжескую	1
Днепровский берег	1
Смоленских	1
Половецкой	1
Киевских	2
Мокош	1
Царьград девица	1
Боярских	2
Вещий	1
Днепре	2
Болгария	1
Княжеского	2
Доростол	1
Деревских	1
Полтеск	2
Новгородская	12
Свенелед	1
Икмар	1
Ольгою	1
Ярополка	1
Княжеской	1
Показ Князь	1
Хазарки	1
Аланки	1
Ясыни	1
Грекини	1
Болгарыни	1
Египетские Гази	1
Дамасская ткань	1
Румынские	1
Хорицы	1
Днепровский	16
Днепровский Омут	1
Князево	1
Послов	1
Волосовом	1
Новгородцы	4
Лопати	1
Чудь белоглазую	1
Плесков	3
Великий Новгород	21
Великий Князь Киевский	1
Скандинавия	7
Ярополку	1
Рогволед	1
Чуди	3
Сокол	3
Варяги	1
Волхов Неве	1
Упсалу	3
Фэрейские {Фаррерские острова	1
Тула	16
Свей	2
Норманнская архитектура	1
Доврефьельд	1
Упландии	1
Рейсландии	1
Зунд	2
Упсалы	2
Свитиод	1
Блотады	2
Упсале	4
Биор-залу	1
Нориге	1
Ида	1
Азгард	1
Свейской	1
Русская земля	12
Греческое море	1
Новгородский торг	1
Измир	2
Упсалы!..	1
Бельт Свейское море	1
Свейское море	1
Свионии	1
Бельт	8
Финингскую	1
Нево	4
Норманнский	1
Ладогу-озеро	1
Ладога	3
Ярополк	1
Посадники Киевские	1
Вечем	1
Ладогой	1
Мальфрида	1
Свеарикэ	1
Гардарикэ	1
Холмотрада	1
Красное Солнце Владимир	1
Придонское Государство	1
Полуночном Царстве	1
Придонском Царстве	1
Колечище	1
Гетманский стан	1
Царский стан	1
